1.08236, 6.26897, 3.98804, 0.740371, 4.05962, 1.07188, 4.56675, 3.47718, 0.0902166, 1.1494, 1.36158, 2.63492, 2.93291, 2.78606, 3.58483, 4.36602, 6.3829, 4.72453, 0.111167, 0.60141, 6.5604, 3.65671, 2.40541, 5.56691, 5.11447, 3.25939, 3.97313, 4.92922, 0.758536, 2.02661
1.08551, 6.14161, 4.01383, 0.892597, 4.08826, 1.23968, 4.46879, 3.37206, 0.172072, 1.22389, 1.48918, 2.74486, 3.05159, 2.96541, 3.51938, 4.24951, 6.31099, 4.66523, 0.183598, 0.676105, 6.47059, 3.60373, 2.37025, 5.4518, 5.00811, 3.16856, 3.9139, 4.82925, 0.861717, 2.1151
1.14276, 6.12997, 4.0536, 0.950783, 4.13358, 1.30047, 4.57282, 3.4358, 0.209413, 1.24556, 1.54218, 2.76763, 3.12108, 3.00254, 3.61583, 4.27444, 6.02347, 4.55712, 0.218208, 0.699218, 6.15859, 3.56337, 2.44797, 5.44612, 5.12106, 3.26053, 4.02996, 4.84669, 0.906733, 2.13726
1.16745, 6.08513, 3.98121, 1.24112, 4.05914, 1.61496, 4.54486, 3.31399, 0.291856, 1.24139, 1.62792, 2.7036, 3.17433, 2.86063, 3.6256, 4.18206, 5.9873, 4.4925, 0.300143, 0.707405, 6.10037, 3.49204, 2.46863, 5.38538, 5.06779, 3.14767, 4.02896, 4.76793, 0.998257, 2.10355
1.1386, 5.96029, 3.88377, 1.26893, 3.95877, 1.633, 4.46073, 3.29322, 0.481412, 1.34239, 1.9043, 2.80481, 3.03328, 2.8238, 3.53951, 4.13362, 5.93055, 4.47046, 0.474842, 0.819864, 6.03894, 3.47925, 2.40142, 5.30341, 4.99147, 3.1337, 3.95846, 4.72205, 1.23259, 2.19938
1.16029, 5.9451, 3.9459, 1.29037, 4.02782, 1.64776, 4.53181, 3.2551, 0.509739, 1.34632, 1.94174, 2.79978, 3.08291, 2.81471, 3.58158, 4.10619, 5.95088, 4.39307, 0.502282, 0.826039, 6.09857, 3.32224, 2.42849, 5.28296, 5.0871, 3.07465, 3.99375, 4.68722, 1.26571, 2.19927
1.20156, 5.94708, 3.95917, 1.32404, 4.04251, 1.68382, 4.55673, 3.30974, 0.529199, 1.36391, 1.96957, 2.82397, 3.11066, 2.84868, 3.62774, 4.15013, 5.96131, 4.51475, 0.519926, 0.843666, 6.09555, 3.39178, 2.48267, 5.29785, 5.1025, 3.13312, 4.05778, 4.74389, 1.28928, 2.21977
1.14844, 5.82855, 3.92497, 1.34785, 4.00554, 1.70549, 4.51392, 3.31594, 0.520326, 1.44915, 1.88061, 2.87464, 3.05152, 2.87033, 3.57131, 4.14705, 5.92897, 4.51144, 0.515239, 0.910129, 6.06395, 3.39468, 2.41261, 5.26004, 5.06491, 3.13929, 4.00981, 4.73411, 1.22091, 2.31391
1.16872, 5.81482, 3.98362, 1.36664, 4.07059, 1.71778, 4.5793, 3.27922, 0.546465, 1.45234, 1.91446, 2.8696, 3.09683, 2.86138, 3.60973, 4.12155, 5.9469, 4.44214, 0.540599, 0.915495, 6.12589, 3.23409, 2.43759, 5.24137, 5.15483, 3.08064, 4.04188, 4.70167, 1.25104, 2.31317
1.2063, 5.81771, 3.9959, 1.3979, 4.08414, 1.7513, 4.60186, 3.32999, 0.564598, 1.46848, 1.94029, 2.89145, 3.12256, 2.89262, 3.6522, 4.16223, 5.95814, 4.55731, 0.556978, 0.931702, 6.12263, 3.29541, 2.48681, 5.25556, 5.16799, 3.13467, 4.10108, 4.75516, 1.27309, 2.33174
