2.71989, 3.5405, 0.490273, 3.31319, 0.528197, 2.03188, 2.6732, 0.468898, 3.53001, 0.646225, 4.24823, 2.28633, 3.68115, 3.09379, 2.26087, 1.21329, 2.15958, 2.93793, 2.73636, 2.92932
2.71837, 3.54068, 0.487422, 3.31844, 0.527796, 2.03413, 2.67268, 0.469609, 3.52943, 0.646775, 4.24743, 2.28663, 3.68013, 3.09401, 2.26018, 1.21417, 2.15788, 2.93871, 2.73502, 2.92981
2.71685, 3.54086, 0.484588, 3.32367, 0.527393, 2.03639, 2.67216, 0.47032, 3.52886, 0.647325, 4.24664, 2.28693, 3.67911, 3.09423, 2.25949, 1.21506, 2.15619, 2.93949, 2.73367, 2.93029
2.71532, 3.54104, 0.481754, 3.32889, 0.526991, 2.03865, 2.67164, 0.471031, 3.52829, 0.647875, 4.24585, 2.28724, 3.67808, 3.09445, 2.25879, 1.21594, 2.15449, 2.94027, 2.73233, 2.93077
2.7138, 3.54122, 0.478938, 3.33409, 0.526587, 2.04092, 2.67112, 0.471742, 3.52771, 0.648425, 4.24506, 2.28754, 3.67706, 3.09467, 2.2581, 1.21683, 2.15279, 2.94105, 2.73098, 2.93125
2.71228, 3.5414, 0.476133, 3.33926, 0.526183, 2.04319, 2.67059, 0.472454, 3.52714, 0.648976, 4.24427, 2.28784, 3.67603, 3.09489, 2.25741, 1.21771, 2.15109, 2.94183, 2.72963, 2.93174
2.71075, 3.54158, 0.473327, 3.34443, 0.525779, 2.04546, 2.67007, 0.473165, 3.52657, 0.649526, 4.24347, 2.28815, 3.67501, 3.09511, 2.25671, 1.2186, 2.14939, 2.94261, 2.72828, 2.93222
2.70922, 3.54176, 0.470543, 3.34957, 0.525373, 2.04774, 2.66955, 0.473877, 3.52599, 0.650076, 4.24268, 2.28845, 3.67398, 3.09532, 2.25602, 1.21948, 2.14769, 2.94339, 2.72693, 2.9327
2.7077, 3.54193, 0.467759, 3.3547, 0.524967, 2.05002, 2.66903, 0.474589, 3.52542, 0.650627, 4.24189, 2.28875, 3.67296, 3.09554, 2.25533, 1.22037, 2.14598, 2.94418, 2.72559, 2.93318
2.70617, 3.54211, 0.464997, 3.35979, 0.52456, 2.0523, 2.66851, 0.475301, 3.52485, 0.651178, 4.2411, 2.28906, 3.67193, 3.09576, 2.25463, 1.22126, 2.14427, 2.94496, 2.72423, 2.93367
2.70464, 3.54229, 0.462248, 3.36486, 0.524152, 2.0546, 2.66799, 0.476013, 3.52427, 0.651728, 4.2403, 2.28936, 3.6709, 3.09598, 2.25394, 1.22214, 2.14256, 2.94575, 2.72288, 2.93415
2.7031, 3.54247, 0.459498, 3.36993, 0.523744, 2.05689, 2.66747, 0.476725, 3.5237, 0.652279, 4.23951, 2.28967, 3.66988, 3.0962, 2.25324, 1.22303, 2.14085, 2.94653, 2.72153, 2.93464
2.70157, 3.54265, 0.456774, 3.37495, 0.523335, 2.05918, 2.66694, 0.477438, 3.52312, 0.65283, 4.23872, 2.28997, 3.66885, 3.09642, 2.25255, 1.22392, 2.13914, 2.94732, 2.72018, 2.93512
2.70004, 3.54283, 0.454063, 3.37995, 0.522925, 2.06149, 2.66642, 0.47815, 3.52255, 0.653381, 4.23792, 2.29027, 3.66782, 3.09664, 2.25185, 1.22481, 2.13742, 2.94811, 2.71882, 2.93561
