1.77757, 4.00052, 2.92424, 3.84834, 2.19369, 3.07198, 2.69437, 4.76604, 1.86287, 4.08635, 4.5028, 2.92048, 2.54072, 2.62328, 4.74331, 1.53898, 3.47417, 3.26279, 4.68442, 2.3142
1.78174, 3.98385, 2.92722, 3.83655, 2.19557, 3.05478, 2.7046, 4.75393, 1.86745, 4.07043, 4.49533, 2.90539, 2.54954, 2.59769, 4.76074, 1.48489, 3.47154, 3.24773, 4.68041, 2.29349
1.78738, 3.96622, 2.93185, 3.82272, 2.19992, 3.0365, 2.71579, 4.74043, 1.87347, 4.05347, 4.4895, 2.88325, 2.56265, 2.56992, 4.66534, 1.58515, 3.47144, 3.22949, 4.68098, 2.23136
1.79111, 3.95046, 2.93449, 3.8115, 2.20177, 3.02019, 2.72557, 4.7293, 1.87764, 4.03843, 4.48254, 2.86885, 2.57411, 2.54266, 4.69623, 1.54667, 3.46885, 3.2149, 4.67854, 2.21092
1.79465, 3.93513, 2.93698, 3.80056, 2.20359, 3.00431, 2.73514, 4.71862, 1.88161, 4.02381, 4.47581, 2.85482, 2.58769, 2.51384, 4.73848, 1.50037, 3.46628, 3.20056, 4.67653, 2.19089
1.798, 3.92023, 2.93933, 3.7899, 2.2054, 2.98884, 2.74448, 4.70838, 1.88541, 4.0096, 4.4693, 2.84113, 2.60468, 2.48221, 4.75129, 1.47207, 3.46375, 3.18646, 4.67495, 2.17125
1.80118, 3.90574, 2.94156, 3.7795, 2.2072, 2.97379, 2.7536, 4.69856, 1.88903, 3.9958, 4.463, 2.8278, 2.62845, 2.44452, 4.76527, 1.44229, 3.46126, 3.17261, 4.67379, 2.15199
1.80565, 3.89043, 2.94523, 3.76736, 2.21115, 2.95783, 2.76352, 4.68751, 1.89392, 3.98111, 4.45834, 2.80828, 2.63556, 2.42597, 4.68563, 1.50469, 3.46101, 3.15605, 4.6746, 2.12096
1.80849, 3.87674, 2.94721, 3.75747, 2.21292, 2.94354, 2.77222, 4.6785, 1.89722, 3.96808, 4.45246, 2.79559, 2.63955, 2.40944, 4.72607, 1.45587, 3.45855, 3.14264, 4.67453, 2.10223
1.81118, 3.86343, 2.94908, 3.74783, 2.21468, 2.92963, 2.78072, 4.66987, 1.90037, 3.95542, 4.44676, 2.78323, 2.64343, 2.3935, 4.73987, 1.42923, 3.45613, 3.12946, 4.67488, 2.08382
