3.66285, 2.87307, 0.493148, 3.33218, 1.30065, 1.84, 1.26533, 0.834764, 3.32723, 0.296622
3.48615, 2.81396, 0.692488, 3.26493, 1.61059, 1.98135, 1.44758, 0.96348, 3.14612, 0.384256
3.44715, 2.78513, 0.677514, 3.19701, 1.54603, 1.91099, 1.30428, 0.892261, 3.07762, 0.3815
3.26022, 2.72258, 0.891064, 3.13004, 2.03562, 2.28837, 1.48933, 1.01562, 2.88919, 0.481037
3.2217, 2.69321, 0.871695, 3.06547, 1.98553, 2.23769, 1.36289, 0.95006, 2.81855, 0.47555
3.0622, 2.64614, 1.16051, 2.95763, 1.68235, 2.19226, 1.58312, 1.12374, 2.64337, 0.558086
3.02437, 2.61636, 1.13532, 2.89753, 1.63264, 2.1341, 1.4783, 1.06537, 2.57027, 0.549718
2.98718, 2.58708, 1.11027, 2.83772, 1.58266, 2.07563, 1.36611, 1.00291, 2.497, 0.54133
2.95063, 2.5583, 1.08533, 2.77819, 1.53233, 2.01674, 1.24336, 0.934565, 2.42345, 0.532909
2.91469, 2.53001, 1.06048, 2.71888, 1.48153, 1.95731, 1.10422, 0.857093, 2.3495, 0.524444
