1.10032, 2.03318, 1.87674, 3.23674, 1.42688, 2.67596, 0.855038, 1.50376, 2.89624, 3.4026
0.942377, 1.78984, 1.79727, 3.11285, 1.32695, 2.51038, 0.525519, 1.07673, 2.81526, 3.31706
1.03089, 2.05167, 1.51634, 2.57207, 1.43579, 2.92567, 0.601253, 1.25702, 2.56415, 3.06557
1.13894, 2.11435, 1.66805, 2.64292, 1.60085, 2.97328, 0.678069, 1.31543, 2.99579, 3.26543
1.10019, 2.01928, 1.61131, 2.56042, 1.56752, 2.90754, 0.576885, 1.17698, 2.96519, 3.23814
1.13714, 2.22191, 1.63655, 2.82611, 1.57017, 3.15657, 0.626928, 1.3133, 2.63674, 3.00038
1.24466, 2.2796, 1.79749, 2.88527, 1.74099, 3.18988, 0.698549, 1.36688, 3.04118, 3.228
1.203, 2.18788, 1.76066, 2.83014, 1.71484, 3.14086, 0.637989, 1.27213, 3.01292, 3.20368
1.16359, 2.1013, 1.72274, 2.77324, 1.68861, 3.0915, 0.609071, 1.2198, 2.98515, 3.1798
1.12692, 2.02137, 1.68328, 2.71388, 1.66223, 3.04167, 0.577233, 1.16665, 2.95784, 3.15634
1.09591, 1.95289, 1.64334, 2.65345, 1.63705, 2.99355, 0.549496, 1.12133, 2.93248, 3.13471
1.06761, 1.89163, 1.60019, 2.58788, 1.61158, 2.94465, 0.582569, 1.15014, 2.90757, 3.11348
1.14567, 1.94245, 1.72015, 2.64528, 1.74937, 2.98656, 0.63884, 1.19464, 3.80833, 3.66966
1.29669, 2.04059, 1.95668, 2.7598, 2.02348, 3.07347, 0.747337, 1.27991, 2.7878, 3.17227
1.20881, 2.19688, 1.79489, 2.84094, 1.84233, 3.12419, 0.731656, 1.40084, 2.67344, 3.19015
1.29134, 2.24332, 1.92845, 2.89319, 1.99494, 3.16127, 0.788407, 1.44312, 3.10374, 3.35601
1.20562, 2.11665, 1.8673, 2.81198, 1.94143, 3.0851, 0.541697, 1.11827, 3.05168, 3.30559
1.12104, 2.27738, 1.70404, 2.89253, 1.76256, 3.13605, 0.53785, 1.22142, 2.95799, 3.31417
