1.39271, 6.03181, 0.60479, 6.45253, 7.29171, 7.30344, 2.89943, 6.36268, 1.76236, 6.61214, 7.36538, 6.70817, 5.75201, 3.21534, 2.994, 2.74096, 1.57281, 6.31445, 7.43679, 3.21834, 5.55499, 3.19584, 4.65088, 7.61135, 0.254171, 1.16732, 5.17783, 1.8329, 5.20248, 1.14077, 4.56131, 0.595435, 1.56312, 5.59737, 7.38834, 5.71429, 1.6612, 6.43709, 2.00417, 2.30885
1.49008, 5.90208, 0.698461, 6.34288, 7.19065, 7.28421, 2.97012, 6.20668, 1.8441, 6.48148, 7.26357, 6.70252, 5.6798, 3.2943, 2.9879, 2.86246, 1.66238, 6.18399, 7.36999, 3.26427, 5.48384, 3.28007, 4.67745, 7.4586, 0.285957, 1.23901, 5.13744, 1.91122, 5.17003, 1.21177, 4.53949, 0.666301, 1.66959, 5.45828, 7.29009, 5.72965, 1.74739, 6.30627, 2.02086, 2.41445
1.58744, 5.77205, 0.791669, 6.23371, 7.08967, 7.26391, 3.04086, 6.05, 1.92562, 6.35099, 7.16168, 6.69595, 5.60668, 3.37366, 2.98196, 2.98653, 1.75183, 6.05348, 7.30347, 3.30958, 5.41162, 3.36498, 4.70471, 7.30649, 0.318098, 1.30995, 5.097, 1.98933, 5.13774, 1.28226, 4.51788, 0.736596, 1.77651, 5.31803, 7.19168, 5.74428, 1.83343, 6.17549, 2.03825, 2.52117
1.68493, 5.64152, 0.884492, 6.12493, 6.98872, 7.24245, 3.11167, 5.89229, 2.00702, 6.22054, 7.05962, 6.68836, 5.53242, 3.45356, 2.97616, 3.11386, 1.84127, 5.92273, 7.23715, 3.35428, 5.33806, 3.45076, 4.73274, 7.155, 0.350652, 1.38013, 5.05647, 2.06733, 5.10557, 1.35231, 4.49644, 0.806374, 1.88416, 5.17622, 7.09299, 5.75812, 1.9194, 6.04459, 2.05648, 2.62936
1.78274, 5.51023, 0.977025, 6.01647, 6.88778, 7.21974, 3.18261, 5.73314, 2.08838, 6.08994, 6.95731, 6.67968, 5.45678, 3.53418, 2.97042, 3.24538, 1.93083, 5.79153, 7.171, 3.39837, 5.26288, 3.53763, 4.76162, 7.00415, 0.383681, 1.44957, 5.01575, 2.14531, 5.07348, 1.42198, 4.47517, 0.875698, 1.99292, 5.03232, 6.99392, 5.77113, 2.00542, 5.91336, 2.07576, 2.73947
1.8811, 5.37785, 1.06938, 5.90823, 6.78683, 7.19565, 3.25371, 5.57196, 2.16983, 5.95897, 6.85466, 6.66976, 5.37943, 3.6157, 2.96461, 3.38243, 2.02067, 5.65961, 7.10493, 3.44186, 5.18568, 3.6259, 4.79145, 6.85397, 0.417258, 1.51827, 4.97477, 2.22338, 5.04144, 1.49134, 4.45403, 0.944639, 2.10338, 4.8855, 6.89434, 5.78324, 2.09163, 5.78154, 2.09633, 2.85208
1.98037, 5.2439, 1.16171, 5.80008, 6.6859, 7.17006, 3.32499, 5.40794, 2.25149, 5.82735, 6.75159, 6.65846, 5.29996, 3.69837, 2.9584, 3.52711, 2.11103, 5.52658, 7.03888, 3.48475, 5.10597, 3.7159, 4.82227, 6.70454, 0.451459, 1.5862, 4.93339, 2.30166, 5.00937, 1.56047, 4.43301, 1.01328, 2.21654, 4.73437, 6.79409, 5.79434, 2.17823, 5.6488, 2.11861, 2.96801
1.96411, 5.18383, 1.1601, 5.74556, 6.66598, 7.151, 3.29757, 5.36477, 2.2365, 5.77756, 6.72983, 6.63982, 5.25775, 3.67922, 2.89048, 3.46857, 2.09539, 5.472, 7.00574, 3.47506, 5.06254, 3.69512, 4.80107, 6.67699, 0.673242, 1.73768, 4.87869, 2.29384, 4.95487, 1.56262, 4.37157, 1.02569, 2.18981, 4.66775, 6.76898, 5.77672, 2.16273, 5.59636, 1.99449, 2.85248
1.94829, 5.11142, 1.16136, 5.68264, 6.64342, 7.12952, 3.26595, 5.3132, 2.22105, 5.71875, 6.70513, 6.61883, 5.20818, 3.65839, 2.78614, 3.38501, 2.07964, 5.40692, 6.96798, 3.46496, 5.01124, 3.67236, 4.77695, 6.64538, 0.887934, 1.88296, 4.81511, 2.28807, 4.89309, 1.5684, 4.30313, 1.04406, 2.16128, 4.58377, 6.74032, 5.75698, 2.14693, 5.53407, 2.40931, 3.10238
1.93252, 5.05123, 1.16039, 5.62898, 6.6244, 7.11129, 3.23917, 5.2707, 2.20668, 5.66975, 6.68432, 6.60098, 5.167, 3.63985, 2.71222, 3.32208, 2.06457, 5.35278, 6.9361, 3.45576, 4.96875, 3.65217, 4.7566, 6.61882, 1.11868, 2.04115, 4.76117, 2.28072, 4.83957, 1.57096, 4.24226, 1.05707, 2.1343, 4.51553, 6.71624, 5.7401, 2.13204, 5.48223, 2.30171, 3.01694
